mass_GeV,upper_limit
5.0,427.9971650522758
10.0,0.6671339056228086
20.0,0.015307104086814155
30.0,0.0056951617965131495
40.0,0.004035602832129304
50.0,0.003406878909115984
70.0,0.0028192295733307725
100.0,0.0024646655961211303
150.0,0.0023539586623167615
200.0,0.0024204826661141
