1.0,629.6580631313893
2.0,593.2123791203813
3.0,558.6945990881538
4.0,526.0118444410484
5.0,495.0752633015048
6.0,465.7998785059098
7.0,438.10444012230437
8.0,411.9112824280003
9.0,387.1461852821894
10.0,363.738239824223
11.0,341.61971842441307
12.0,320.7259488108683
13.0,300.9951922930167
14.0,282.3685260000588
15.0,264.7897290505582
16.0,248.20517256775338
17.0,232.56371345385097
18.0,217.81659183559555
19.0,203.91733209269648
20.0,190.8216473802711
21.0,178.4873475562765
22.0,166.8742504249293
23.0,155.94409620735462
24.0,145.66046515112433
25.0,135.98869819092727
26.0,126.89582057335444
27.0,118.35046835965011
28.0,110.32281772127479
29.0,102.78451694422465
30.0,95.70862105924991
31.0,89.06952901639453
32.0,82.84292332363665
33.0,77.00571207082982
34.0,71.53597326161722
35.0,66.4129013775195
36.0,61.6167560999546
37.0,57.12881311754603
38.0,52.931316947696445
39.0,49.00743570304309
40.0,45.341217735068795
41.0,41.91755008880621
42.0,38.72211870424181
43.0,35.74137030169642
44.0,32.96247589012604
45.0,30.373295838944596
46.0,27.962346455620818
47.0,25.71876801293764
48.0,23.632294171421112
49.0,21.693222744051916
50.0,19.89238775195125
51.0,18.22113272129656
52.0,16.671285173257687
53.0,15.23513226025731
54.0,13.905397503344176
55.0,12.675218586927546
56.0,11.538126168550066
57.0,10.488023662778303
58.0,9.519167959661264
59.0,8.626151039548763
60.0,7.803882447371762
61.0,7.04757259076687
62.0,6.352716827675143
63.0,5.71508031026382
64.0,5.130683553204214
65.0,4.595788695495141
66.0,4.106886426144062
67.0,3.660683545111617
68.0,3.254091131986581
69.0,2.8842132958904925
70.0,2.548336481112328
